יידיש|עברית|גרויס|פארשפארט|שטאפל
"רוי:יארן ג'ת""ת - ג'תתצ""ט"|"שנים עבריות ג'ת""ת - ג'תתצ""ט"|1307||1
רוי:חיים מאיר יחיאל שפירא (באדייטן)|חיים מאיר יחיאל שפירא|1307||
רוי:י' אלול|י' באלול|1312||1
רוי:ציאן|ציאן|1324||
רוי:לוי יצחק|לוי יצחק|1330||
רוי:פלאטא|רמה (גאוגרפיה)|1331||
רוי:האנטגעלענק|שורש כף היד|1335||
רוי:קאלעג צו קאלעג|עמית לעמית|1337||
רוי:500 (נומער)|500 (מספר)|1344||1
רוי:ג' אייר|ג' באייר|1348||1
רוי:צושימע אינזל|צושימה (אי)|1348||
רוי:אגדה|אגדה|1350||
רוי:אונזער טריבונע|אונזער טריבונע|1350||
רוי:וויליאם|ויליאם|1350||
"רוי:י""ד תשרי"|"י""ד בתשרי"|1353||1
רוי:פראפיט|רווח (כלכלה)|1361||
"רוי:כ""ד סיון"|"כ""ד בסיוון"|1379||1
רוי:אלעמאל-גרין|ירוק-עד|1381||
"רוי:כ""ז סיון"|"כ""ז בסיוון"|1385||1
רוי:לארען פאוסט|לורן פאוסט|1389|1|
רוי:יאנישער ים|הים היוני|1391||
רוי:ז' כסלו|ז' בכסלו|1392||1
רוי:בארג-דורכגאנג|מעבר הרים|1395||
רוי:איינגאס פון גינע|מפרץ גינאה|1403||
רוי:פאסאזשיר|נוסע|1405||
"רוי:י""ז סיון"|"י""ז בסיוון"|1408||1
רוי:אוואמע|עוואמה|1411||
"רוי:י""א אלול"|"י""א באלול"|1412||1
"רוי:כ""ד תמוז"|"כ""ד בתמוז"|1416||1
"רוי:יארן ב'ש' - ב'שצ""ט"|"שנים עבריות ב'ש' - ב'שצ""ט"|1417||1
רוי:האלבמעטאלן|מטלואיד|1421||
רוי:35 (נומער)|35 (מספר)|1423||1
רוי:מענדיל האגער|מנחם מנדל הגר|1426||
רוי:קאנאן סטריט סטאנציע|תחנת רחוב קנון|1431||
רוי:בהמה|מקנה|1436||
רוי:פי (אות)|פאי (אות)|1436||
רוי:32 (נומער)|32 (מספר)|1440||1
"רוי:כ""ב אלול"|"כ""ב באלול"|1451||1
רוי:מדרש אגדה (באבער)|מדרש אגדה (בובר)|1452||
רוי:שלעפשיף|גוררת|1455||
רוי:47 (נומער)|47 (מספר)|1456||1
"רוי:כ""ו תמוז"|"כ""ו בתמוז"|1465||1
רוי:סדר|סדר|1465||
רוי:רעספיראטאר (פילטער)|מסכת סינון אוויר|1472||
רוי:43 (נומער)|43 (מספר)|1473||1
רוי:שמעון דזשיגאן|שמעון דז'יגאן|1473||
"רוי:כ""ט אב"|"כ""ט באב"|1475||1
רוי:24 (נומער)|24 (מספר)|1477||1
רוי:בלוט צעל|תא דם|1478||
רוי:קאראל-ים|ים האלמוגים|1478||
רוי:ג' אב|ג' באב|1482||1
רוי:קישקע|קישקע|1482||
רוי:בייטייך|יובל (נהר)|1483||
רוי:זברוטש|זברוץ'|1484||
רוי:מאדזשענטא|מג'נטה|1487||
רוי:99 (נומער)|99 (מספר)|1488||1
"רוי:י""ד תמוז"|"י""ד בתמוז"|1499||1
רוי:38 (נומער)|38 (מספר)|1501||1
