ארטיקל|גרויס|ערך|גודל
רוי:משה רבינו|1318|משה רבינו|34456
רוי:אפריקע|30490|אפריקה|35690
רוי:איסיים|16201|איסיים|35730
רוי:ראש השנה|2852|ראש השנה|36022
רוי:שלמה המלך|6414|שלמה המלך|36284
רוי:שפראך|5466|שפה|36725
רוי:אנשי כנסת הגדולה|5457|כנסת הגדולה|36974
רוי:פסיכאלאגיע|1289|פסיכולוגיה|36982
רוי:אריטמעטיק|11564|אריתמטיקה|37014
רוי:ספרדים|3252|יהדות ספרד|37840
רוי:צייט|3150|זמן|37882
רוי:יום טוב|4621|חגי ישראל ומועדיו|37922
רוי:אסטראלאגיע|1543|אסטרולוגיה|38156
רוי:ארכעאלאגיע|977|ארכאולוגיה|38208
רוי:אשכנזים|14565|יהדות אשכנז|39182
רוי:יעקב אבינו|2037|יעקב אבינו|39487
רוי:ציפערן|2554|קפריסין|39490
רוי:בעל שם טוב|32912|רבי ישראל בעל שם טוב|40032
"רוי:גזירות ת""ח ות""ט"|5072|"גזרות ת""ח–ת""ט"|40731
רוי:שאול המלך|1601|שאול|40967
רוי:ווארשעווער געטא|11389|גטו ורשה|41208
רוי:ארכיטעקטור|1499|אדריכלות|41411
רוי:חנוכה|17718|חנוכה|41527
רוי:רבי חיים קאניעווסקי|6435|רבי חיים קניבסקי|42843
רוי:רבי יהודה הנשיא|1099|רבי יהודה הנשיא|43032
רוי:גלאבאליזאציע|1325|גלובליזציה|43480
רוי:עקאנאמיק|2751|כלכלה|43615
רוי:רבי עקיבא|14211|רבי עקיבא|43658
רוי:היסטאריע|20100|היסטוריה|44106
רוי:וואסער|3296|מים|45808
רוי:אליהו הנביא|2534|אליהו הנביא|46115
רוי:ברכה|2993|ברכה|46215
רוי:כעמיע|17167|כימיה|46811
רוי:רבי יואל טייטלבוים|33448|רבי יואל טייטלבוים|47127
רוי:חפץ חיים|7698|רבי ישראל מאיר הכהן|47647
רוי:עשרת השבטים|1154|עשרת השבטים|47966
רוי:עדה החרדית|7961|העדה החרדית|48086
רוי:פורים|5306|פורים|48284
רוי:לבנה|17995|הירח|48718
רוי:תלמוד בבלי|3437|תלמוד בבלי|49092
רוי:רבן יוחנן בן זכאי|8260|רבן יוחנן בן זכאי|49804
