יידיש,עברית,גרויס,פארשפארט,שטאפל
רוי:מסכת ביכורים,מסכת ביכורים,3272,,
רוי:בארשא,בורשה,3316,,
רוי:רבי מנחם קאליש,מנחם קאליש,3316,,
רוי:בעלעד,בלד (הונגריה),3331,,
רוי:אבא שאול בן בטנית,אבא שאול בן בטנית,3334,,
רוי:רבי אברהם הורוויץ (שענדישאוו),אברהם אבא הורוביץ,3341,,
רוי:בודאפעשטער געטא,גטו בודפשט,3343,,
רוי:אלה,אלה בן בעשא,3354,,
רוי:סטראפקוב,סטרופקוב,3355,,
רוי:רבי ירחמיאל משה האפשטיין,ירחמיאל משה הופשטיין,3361,,
רוי:רבי נתן,רבי נתן,3369,,
רוי:מסכת טהרות,מסכת טהרות,3371,,
רוי:מסכת מדות,מסכת מידות,3407,,
רוי:וואלאווע,מיז'היריה,3411,,
רוי:הערינג,מליח,3422,,
רוי:מעגל טוב,מעגל טוב,3426,,
רוי:רבי יעקב יצחק אונגאר (זשאבנא),יעקב יצחק אונגר,3430,,
רוי:שוואן,ברבור (סוג),3439,,
רוי:רבי אהרן בערנשטיין,אהרן ברנשטיין (רב),3450,,
רוי:רבי אברהם יהודה הכהן שווארץ,אברהם יהודה שוורץ,3453,,
רוי:ווארעם,תולעים,3458,,
רוי:מאגנישאוו,מגנושב,3461,,
רוי:רבי אלעזר אונגאר,אלעזר אונגר,3463,,
רוי:זשיבוי,ז'יבואו,3470,,
רוי:רבי מאיר שפירא (בלאזשאוו),"מאיר שפירא (אדמו""ר)",3476,,
רוי:בערבעשט,ברבשט,3477,,
רוי:סיון,סיוון,3485,,
רוי:רבי אבא בר זימנא,רבי אבא בר זבינא,3490,,
רוי:מסכת טבול יום,מסכת טבול יום,3498,,
רוי:ועד ראשי השוחטים דמדינת פולין וליטא,ועד ראשי השוחטים של פולין וליטא,3501,,
רוי:רבי אברהם יהושע העשל (מעזשביזש),אברהם יהושע השיל (מז'יבוז'),3504,,
רוי:אלטע פייגא טייטלבוים,אלטא פייגא טייטלבוים,3506,,
רוי:אלטאנע,אלטונה,3507,,
רוי:האלמין,הלמאו,3507,,
רוי:מסכת ידים,מסכת ידיים,3508,,
רוי:רבי מרדכי יוסף אלעזר ליינער,מרדכי יוסף אלעזר ליינר,3546,,
רוי:דעזש,דז',3550,,
רוי:רבי דן מיכלאוויטש,דן יונגרלייב,3556,,
רוי:פארע-ציבעלע,כרישה,3560,,
רוי:הערש,צבי,3561,,
רוי:רבי ישכר בעריש אייכנשטיין (דאלינע),רבי יששכר בעריש אייכנשטיין (דולינה),3562,,
רוי:גרשון,גרשון,3565,,
רוי:טשאיאטע,צ'יוטה,3569,,
